,,,,
,,,,
,Вартість товарів на складах,,,
Техніка,Товар,Кат№1,Основной склад,
,,,Залишок,Вартість
T815,"Амортизатор 70х170 передний, кат№2 341495000 (шт.)",443621701000АС,3,"1,518.00 грн."
T815,"Барабан тормозной Т815, кат№2 341330190 (шт.)",442024110364АС,58,"25,090.80 грн."
T815,Болт колеса задний (шт.),442052381794АС,30,796.95 грн.
T815,"Болт колеса передний (к-кт с гайкой и конусом), кат№2 341439090АС (шт.)",442052381784АС+,77,800.35 грн.
T815,Болт шатуна (шт.),442052381754АС,42,514.51 грн.

